,basis,coinc thr,qber,sig qber
0,AD,2,0.028785005020640412,0.0017660953459579711
1,HV,2,0.00957530697307649,0.001033603503517526
2,AD,5,0.030590610802624936,0.0017302961651452424
3,HV,5,0.010557303827022637,0.001029749699934865
