key,N1,N4,mu,sigma,N_coinc
AA,259516,111315,-4.821945930898216,4.714038116892383,4877
AD,259577,106939,-5.1372817591522795,5.320438091697252,168
DA,257393,111321,-3.5535096024241493,4.053748235946526,135
DD,256978,106717,-4.9108125321916365,4.918124015817206,4725
HH,257842,111431,-5.021484253072493,4.829962347831477,4906
HV,259332,111851,-6.708179724570777,5.4584523853024285,30
VH,257398,107461,-4.312054702741371,5.593859571947646,74
VV,259981,107178,-5.001780491446931,4.826291532338509,4841
